price3rsiUSD,fee_to_reward3stdUSD,difficulty14var,transactions7var,price7rocUSD,price3trxUSD,size90roc,transactions3var,price3rocUSD,activeaddresses7trx,price30rocUSD,price7rsiUSD,size90mom,confirmationtime30sma,price3momUSD,size90sma,mediantransactionvalue14rocUSD,hashrate30mom,mediantransactionvalue14momUSD,price14rsiUSD,fee_to_rewardUSD,price7momUSD,hashrate14trx,price30rsiUSD,activeaddresses,mediantransactionvalueUSD,top100cap90rsi,fee_to_reward14emaUSD,priceUSD,transactionvalueUSD,size3sma,hashrate7std,confirmationtime14wma,median_transaction_feeUSD,confirmationtime3ema,confirmationtime,category
48.352,0.7959999999999999,8.8484363486024e+19,885721221.0,-7.282999999999999,-0.6920000000000001,-9.921,187124047.0,2.5660000000000003,-0.7440000000000001,4.987,39.541,-83514.0,9.364,20.663,867805.0,-7.669,8.78396415859917e+17,-11.417,43.666,4.68,-64.867,0.573,49.451,513070,137.454,45.183,4.9030000000000005,825.8610000000001,6440.0,725974.0,4.08141206358745e+17,9.049,0.179,8.619,8.521,1
76.345,1.2,9.0014363079087e+19,589176209.0,-2.884,0.395,11.5,538346088.0,5.763,-0.6409999999999999,10.855,52.556,92840.0,9.327,47.581,868837.0,-11.637,2.62603398934652e+17,-18.07,50.267,5.251,-25.926,0.608,53.163,551064,137.215,45.099,4.949,873.1619999999998,6891.0,778465.0,1.82867601469034e+17,9.036,0.197,8.866,9.114,1
79.762,0.65,8.7778209827687e+19,542003859.0,4.699,1.098,-8.552999999999999,168541443.0,8.19,-0.39,11.853,54.908,-83589.0,9.329,66.844,867908.0,-24.336,4.5370307900575e+17,-42.81,51.537,5.4460000000000015,39.628,0.629,53.89,574624,133.1,44.252,5.016,882.9860000000001,5762.0,850724.0,1.86795443542903e+17,9.084,0.2,9.233,9.6,1
82.552,0.4370000000000001,8.1775903731758e+19,581952118.0,13.944,1.359,5.472,10428661.0,7.795,0.027000000000000003,12.701,56.754,43283.0,9.257,64.376,868389.0,-29.768,4.88534204821247e+17,-62.122,52.50100000000001,4.916,108.944,0.636,54.43,620881,146.567,44.31,5.002,890.2360000000001,7709.0,876068.0,1.93502354877304e+17,8.955,0.193,8.755,8.276,1
83.536,0.977,7.20074447913e+19,662417533.0,10.821,1.286,-9.02,2075673.0,2.195,0.35100000000000003,10.026,57.342,-71600.0,9.21,19.169,867593.0,-8.514,6.431293516269e+17,-13.263,52.793,4.252,87.134,0.6609999999999999,54.589,587282,142.503,44.222,4.902,892.331,7739.0,816745.0,2.31266925164128e+17,8.756,0.183,8.187000000000001,7.619,1
91.377,0.763,5.847283300638e+19,510408943.0,10.813,1.37,-12.527,287695644.0,3.609,0.475,7.329,63.563,-99248.0,9.173,31.865,866491.0,-9.413,7.06301179515034e+17,-12.838,55.932,4.016,89.27,0.715,56.286,552658,123.541,44.244,4.784,914.851,5319.0,749827.0,3.45746865040974e+17,8.616,0.18600000000000005,8.071,7.956,1
92.761,0.327,4.2575993623382e+19,499585733.0,12.833,1.337,-23.899,633562376.0,3.442,0.32299999999999995,2.925,65.15,-211810.0,9.133,30.643,864137.0,-15.6,6.11764194738945e+17,-22.055,56.761,3.854,104.737,0.762,56.734,495222,119.323,44.63,4.66,920.879,4410.0,696558.0,3.57910149476501e+17,8.541,0.187,8.174,8.276,0
83.443,1.902,2.3795996932199e+20,734760155.0,11.167,1.094,-3.734,166262454.0,2.886,0.232,2.263,63.65,-35245.0,9.13,25.753,863746.0,-11.195,9.93628570162544e+17,-19.896,56.233,5.947,92.223,0.82,56.456,550007,157.821,44.816,4.832,918.084,5962.0,758695.0,4.19959636859155e+17,8.758,0.21600000000000005,9.304,10.435,0
50.83,2.718,3.8236050603781e+20,686994089.0,3.781,0.643,-0.076,391842528.0,-0.948,0.331,3.941,57.117,-740.429,9.162,-8.672,863737.0,0.284,3.23712080464305e+17,0.399,53.931,7.142,33.017,0.835,55.26600000000001,603034,141.264,43.772,5.14,906.179,6369.0,852217.0,4.07463810902972e+17,8.874,0.227,9.484,9.664,0
31.927,0.997,5.2521179111023e+20,746913430.0,1.265,0.14800000000000002,1.045,812159288.0,-2.902,0.519,-0.3,50.955,10215.0,9.146,-26.723000000000006,863851.0,-21.952,4.41041347927162e+17,-37.205,51.633,6.7620000000000005,11.17,0.8370000000000001,54.075,614252,132.279,43.472,5.356,894.1560000000002,5662.0,956644.0,3.727320178443e+17,8.982999999999997,0.217,9.574,9.664,1
53.265,0.952,6.3599065863086e+20,868290760.0,1.546,0.013,21.634,227962908.0,-1.534,0.742,-0.772,55.535,176623.0,9.148,-14.087,865813.0,-21.339,8.31596919070299e+17,-32.619,53.38399999999999,5.997999999999998,13.76,0.846,54.898,627055,120.245,43.361,5.442,903.996,6121.0,984796.0,3.08726998960101e+17,9.04,0.215,9.432,9.29,1
69.025,1.361,7.1469710859984e+20,793436624.0,2.501,0.136,8.363,482297043.0,0.934,0.868,-3.751,60.225,64640.0,9.137,8.466000000000001,866532.0,-10.548,6.9079797348716e+17,-16.148,55.271,5.097,22.314,0.87,55.785,605182,136.938,43.572,5.396,914.645,6250.0,939470.0,3.46870339183404e+17,8.979,0.21,8.951,8.471,1
