price3rsiUSD,activeaddresses90var,mediantransactionvalue7rocUSD,sentbyaddress7var,activeaddresses3trx,hashrate14roc,mining_profitability3sma,size90mom,size7rsi,mining_profitability3roc,price30momUSD,confirmationtime3ema,hashrate3mom,mediantransactionvalue90rsiUSD,confirmationtime7wma,sentbyaddress30std,fee_to_rewardUSD,transactionfees14rsiUSD,size14var,hashrate90roc,confirmationtime30ema,transactionfees30rsiUSD,mediantransactionvalue30wmaUSD,difficulty7trx,difficulty14std,hashrate7mom,priceUSD,hashrate3std,hashrate14mom,median_transaction_feeUSD,mediantransactionvalueUSD,sentinusdUSD,category
57.39100000000001,2799008392,-10.195,148617174.0,-0.8809999999999999,-5.824,1.268,81180.0,39.16,-2.545,-5.829,9.837,1.18002724969265e+16,49.457,9.873,84694.0,0.889,44.18,2522823395,49.37,9.823,47.944,139.54,0.305,6792686788.0,5.7243089248404e+16,415.36,3.12820531471222e+16,-7.47535304389717e+16,0.0415,114.183,876239761.0,1
66.184,2770733673,-4.654,290469974.0,0.953,5.5520000000000005,1.269,177988.0,39.436,0.138,-7.051,9.624,2.74283657961861e+16,49.131,9.731,85439.0,0.929,52.862,1931966754,38.812,9.796,51.849,135.39600000000002,0.293,6631787640.0,1.19087292881811e+17,416.249,2.97508603236387e+16,6.50908570200069e+16,0.0416,98.45,624918390.0,1
83.975,2794204233,-3.117,382127340.0,-0.32299999999999995,15.888,1.255,-26659.0,40.458,-3.264,-4.824,9.919,-1598498500251392.0,49.15,9.831,86686.0,0.893,47.21,1990549143,50.953,9.823,49.124,131.453,0.273,6307189039.0,6.64328338300198e+16,419.4380000000001,2.88464921310145e+16,1.70131535459613e+17,0.0419,99.331,727109012.0,1
91.966,2793951115,2.015,374382675.0,2.35,8.455,1.334,53458.0,50.924,18.51,-8.799,9.195,4302485497350144.0,49.63800000000001,9.483,86785.0,1.075,55.209,1838304669,68.417,9.736,53.08,129.131,0.249,5791430963.0,8.28434276341834e+16,423.456,2.48132956608536e+16,9.45683048383985e+16,0.0423,121.983,881707209.0,0
45.395,2914780728,18.428,304100500.0,6.0539999999999985,11.662,1.3019999999999998,282371.0,71.74,-7.257999999999999,-11.183,9.183,1.44594158864428e+17,49.71100000000001,9.378,85509.0,1.452,63.379,3468773344,80.248,9.699,57.729,126.994,0.223,5026004813.0,1.85089499821997e+17,417.945,1.47936606001737e+17,1.44341302032055e+17,0.0418,125.342,882870612.0,0
26.676,2834024877,10.776,345714302.0,4.095,-0.315,1.304,194012.0,56.597,0.368,-23.912,9.49,3.21590237112778e+16,49.673,9.449,76812.0,1.231,50.864,3649629471,71.311,9.706,51.161,125.025,0.196,3865331670.0,6.30886621371105e+16,412.853,1.3988797681728e+17,-4022535388527104.0,0.0413,123.555,837456770.0,1
41.74800000000001,2591582466,-0.474,355578656.0,0.225,-3.754,1.2,351785.0,65.848,-20.746,-19.693,10.550999999999998,-1.14744929735886e+17,49.692,9.969,63597.0,1.455,50.104,5006971886,53.755,9.829,50.735,123.557,0.171,1606507458.0,-1.44237283829076e+17,414.983,2.33737290228722e+17,-4.28357494223194e+16,0.0415,124.453,907076104.0,1
43.17100000000001,2575810480,8.102,444025222.0,-1.025,-1.217,1.27,188683.0,54.95399999999999,17.52,-16.419,9.982,-2.44544607980638e+17,49.67,9.874,47064.0,1.3730000000000002,54.557,5212972761,61.452,9.802,53.19,122.367,0.157,529025158.0,-7.12553806555674e+16,415.156,1.49785289710792e+17,-1.40122914071634e+16,0.0415,123.434,904069849.0,1
65.173,2470067670,11.957,265999741.0,-0.85,13.741,1.254,244203.0,58.15600000000001,-3.976,-3.185,10.171,-1077762364141056.0,49.378,10.032,41997.0,1.41,57.503,5412175849,63.691,9.838,54.868,120.672,0.151,842588163.0,3.45825339767834e+16,418.138,1.48792777765686e+17,1.53669826858594e+17,0.0418,110.222,733953480.0,0
63.208,2433438613,5.1560000000000015,92227596.0,-0.991,-2.496,1.295,170083.0,48.639,10.349,-1.579,10.156,4.68960174739103e+16,49.25100000000001,10.102,41085.0,1.214,52.907,5176596784,34.684,9.857,52.448,118.813,0.147,1032055137.0,-9.57427678549146e+16,417.978,1.2336555595833e+17,-2.93099340248947e+16,0.0418,104.453,651242932.0,1
