mining_profitability90wma,mining_profitability90trx,price90rocUSD,difficulty90std,price90varUSD,difficulty14trx,category
3580.0,0.053,-11.84,9380712.0,279.731,1.204,1
3514.0,0.041,-13.65,9640131.0,284.236,1.24,1
3457.0,0.03,-4.087,9875669.0,285.632,1.291,1
3399.0,0.018000000000000002,1.204,10088998.0,285.188,1.345,1
3341.0,0.006,18.993,10281502.0,277.393,1.393,1
3284.0,-0.005,15.683,10465168.0,271.137,1.43,1
3232.0,-0.017,-6.2360000000000015,10655924.0,273.135,1.454,1
3173.0,-0.028,-18.948,10829862.0,277.728,1.463,1
3118.0,-0.039,-26.766,10987779.0,282.749,1.459,1
3064.0,-0.051,-26.63,11130359.0,287.563,1.4409999999999998,1
3013.0,-0.062,-26.112,11258182.0,292.272,1.413,1
2954.0,-0.073,-30.369,11414214.0,294.758,1.386,1
2895.0,-0.084,-36.766,11756021.0,289.242,1.403,1
2844.0,-0.095,-38.153,12067867.0,279.003,1.4409999999999998,1
2790.0,-0.106,-33.901,12352020.0,272.47700000000003,1.485,1
2740.0,-0.117,-29.389,12610353.0,268.915,1.526,1
2693.0,-0.128,-28.65,12844424.0,266.35400000000004,1.557,1
2643.0,-0.138,-32.328,13055537.0,259.925,1.5759999999999998,1
2601.0,-0.149,-32.145,13269303.0,249.622,1.58,1
2559.0,-0.159,-25.358,13468736.0,244.603,1.571,1
2517.0,-0.16899999999999998,-13.552,13649038.0,243.909,1.5490000000000002,1
2474.0,-0.18,-6.64,13810957.0,244.219,1.516,1
2436.0,-0.19,-9.087,13955133.0,244.426,1.473,1
2391.0,-0.2,-15.945,14207236.0,243.086,1.449,1
2349.0,-0.209,-16.33,14599801.0,241.899,1.463,1
2307.0,-0.219,-13.513,14957468.0,241.163,1.496,1
2268.0,-0.229,-11.59,15282687.0,240.401,1.533,1
2228.0,-0.238,-10.173,15577490.0,239.79,1.5659999999999998,1
2191.0,-0.248,-13.215,15843577.0,238.827,1.589,1
2150.0,-0.257,-16.288,16082371.0,237.502,1.6,1
