price90smaUSD,mining_profitability90trx,top100cap30trx,mining_profitability,top100cap90mom,difficulty90var,hashrate30var,top100cap90roc,top100cap90rsi,fee_to_rewardUSD,price30smaUSD,price3wmaUSD,top100cap,price7emaUSD,category
72.82600000000002,0.504,0.078,5457.0,0.6890000000000001,5137023472602.0,4.0235108040222e+25,3.552,50.727,1.264,119.147,111.83,20.096,114.164,0
73.825,0.507,0.077,5568.0,0.7190000000000001,5232294401290.0,4.4055956578988995e+25,3.712,50.737,1.103,118.09,111.766,20.097,113.217,0
74.807,0.509,0.075,5355.0,0.731,5316145264416.0,4.8348325798234e+25,3.769,50.99100000000001,1.249,116.291,110.423,20.126,112.311,0
75.767,0.51,0.073,5442.0,0.762,5388576061981.0,5.0593941807114e+25,3.931,51.085,1.585,113.392,109.137,20.137,111.338,0
76.742,0.511,0.071,5770.0,0.7340000000000001,5449586793985.0,5.4362994556212e+25,3.8,50.409,1.476,111.126,109.675,20.063,111.139,0
77.734,0.511,0.069,5926.0,0.6859999999999999,5499177460428.0,5.9331376295814005e+25,3.548,50.092,1.341,111.043,111.168,20.028,111.48,0
78.712,0.511,0.066,5199.0,0.6509999999999999,5555966504632.0,6.5786655443721e+25,3.362,49.918,1.332,111.686,111.793,20.009,111.544,0
79.691,0.51,0.064,5179.0,0.5710000000000001,5683226128875.0,7.4749520893153985e+25,2.94,49.846,1.331,112.146,112.117,20.001,111.718,0
80.62899999999998,0.509,0.061,4670.0,0.5870000000000001,5795029835465.0,7.498645344085e+25,3.018,50.033,1.472,112.706,110.354,20.022,110.947,0
81.51100000000002,0.507,0.059,4587.0,0.627,5891377624403.0,6.8284988988528995e+25,3.227,50.261,1.6909999999999998,113.288,107.206,20.046,109.354,0
82.40700000000002,0.504,0.056,4982.0,0.759,5972269495688.0,6.5746157478875e+25,3.915,51.142,2.053,114.353,106.464,20.142,108.766,0
83.34,0.502,0.054000000000000006,5231.0,0.728,6037705449320.0,6.437236158532401e+25,3.757,50.846,1.361,115.445,108.342,20.111,109.197,0
84.29799999999999,0.499,0.051,5206.0,0.922,6087685485299.0,6.3347973546622006e+25,4.802,50.86600000000001,1.054,116.05,111.071,20.113,110.102,0
85.258,0.495,0.049,4934.0,0.91,6151478207977.0,5.5154425358479006e+25,4.743,50.72,1.198,116.257,112.473,20.098,110.802,0
86.208,0.491,0.047,4693.0,0.909,6202114660158.0,4.7554587162508e+25,4.735,50.832,1.3330000000000002,116.214,113.037,20.11,111.402,0
87.167,0.487,0.045,5631.0,0.737,6238727655248.0,4.7250798500901e+25,3.807,50.582,1.22,116.247,114.191,20.084,112.371,0
88.139,0.483,0.043,5211.0,0.785,6261317193246.0,4.7274292495337e+25,4.058,51.037,1.267,116.352,115.636,20.132,113.45,0
89.132,0.479,0.041,5784.0,0.706,6269883274153.0,4.8061310628577e+25,3.639,50.844,1.285,116.283,117.456,20.112,114.761,0
90.195,0.474,0.039,5588.0,0.7829999999999999,6264425897968.0,5.2408500228444e+25,4.044,51.139,1.134,115.943,121.315,20.143,117.222,0
91.294,0.47,0.037000000000000005,5608.0,0.655,6266845828596.0,5.366114650516e+25,3.404,48.812,1.137,115.542,125.18,19.901,119.848,0
92.405,0.465,0.034,5311.0,0.69,6318752595334.0,6.2126728763448e+25,3.588,48.874,0.7709999999999999,115.402,127.717,19.908,122.073,0
93.507,0.46,0.032,5450.0,0.728,6352809780071.0,7.243013472836501e+25,3.783,49.534,1.103,115.47,128.382,19.976,123.644,0
94.572,0.455,0.03,5226.0,0.742,6369017382807.0,7.0388792628216e+25,3.855,49.545,1.372,115.526,127.106,19.977,124.164,0
95.629,0.45,0.028,5342.0,0.68,6367375403541.0,7.628169032406598e+25,3.533,49.073,1.23,115.389,126.516,19.927,124.731,0
96.673,0.445,0.026,5567.0,0.713,6366377419091.0,8.4043236176548e+25,3.709,49.26,1.053,115.148,126.72,19.946,125.359,0
97.71,0.44,0.023,5071.0,0.609,6395258410585.0,9.6068682350091e+25,3.161,48.607,1.023,115.207,126.698,19.878,125.625,0
98.759,0.435,0.021,5865.0,0.534,6409172842506.0,1.0982494954298e+26,2.758,48.63800000000001,0.772,115.735,126.803,19.881,125.946,0
99.768,0.429,0.019,4901.0,0.488,6408120714852.0,1.4154598105697999e+26,2.518,48.668,0.976,116.45,125.441,19.884,125.493,0
100.698,0.424,0.016,5209.0,0.466,6392102027625.0,1.6544720020968e+26,2.411,47.845,1.098,116.96,122.696,19.797,124.203,1
101.595,0.418,0.014,5139.0,0.394,6361116780823.0,1.8666729931169e+26,2.033,47.719,1.012,117.167,120.643,19.784,123.074,1
102.485,0.413,0.011,4025.0,0.481,6438715473404.0,2.4688913406034e+26,2.479,48.597,1.294,117.404,119.998,19.869,122.329,1
103.352,0.406,0.009000000000000001,3829.0,0.312,6773409257296.0,3.0815263208371998e+26,1.599,48.098,0.907,117.704,119.673,19.817,121.594,1
104.151,0.4,0.006999999999999999,3733.0,0.301,7076921022618.0,3.2459528042927e+26,1.5419999999999998,48.088,0.967,117.885,117.319,19.816,119.949,1
104.886,0.393,0.004,3834.0,0.438,7349250769370.0,3.4676070790342e+26,2.257,48.455,1.012,117.957,113.528,19.852,117.608,1
105.562,0.385,0.002,3133.0,0.472,7590398497552.0,3.7221948820025e+26,2.427,49.1,0.902,117.803,108.998,19.914,114.69,1
106.228,0.378,0.0,3358.0,0.449,7800364207164.0,3.971672951839e+26,2.3080000000000003,49.043,0.789,117.522,105.772,19.909,112.032,1
106.936,0.37,-0.001,3690.0,0.4,7979147898205.0,4.1304929408908e+26,2.055,48.769,1.052,117.349,105.62,19.881,110.663,1
107.656,0.361,-0.003,3678.0,0.485,8159408765588.0,4.7121699160369e+26,2.489,49.75,0.835,117.209,106.887,19.976,110.01,1
108.36,0.353,-0.004,3238.0,0.563,8329634192341.0,5.306976307539601e+26,2.899,49.69600000000001,0.875,117.153,107.248,19.971,109.243,1
109.012,0.344,-0.005,3401.0,0.5920000000000001,8471283260415.0,5.2506412479018004e+26,3.053,49.971,0.804,117.096,105.084,19.998,107.646,1
