size3mom,price3rsiUSD,mining_profitability3roc,activeaddresses30mom,size30rsi,hashrate14mom,mediantransactionvalue7rsiUSD,mining_profitability7std,median_transaction_fee3trxUSD,mediantransactionvalue14rocUSD,size30trx,price7varUSD,mediantransactionvalue14rsiUSD,size30std,sentinusdUSD,priceUSD,sentbyaddress30var,hashrate3std,hashrate90roc,hashrate7trx,price7momUSD,top100cap,confirmationtime3ema,mediantransactionvalue14smaUSD,confirmationtime30ema,mediantransactionvalueUSD,median_transaction_fee7rocUSD,difficulty14var,category
-17468.0,59.235,-16.827,13371,48.48,16878715943786.0,49.76600000000001,1304.0,-4.0139999999999985,-25.429,0.223,65.98899999999999,50.49800000000001,54724.0,553228048.0,94.679,124833894,4065029697104.0,281.596,0.916,-20.321,20.427,9.13,111.57,8.61,91.957,-17.67,157265062272.0,1
30400.0,72.99600000000002,25.541,42167,53.50899999999999,8103342586149.0,49.73,1257.0,0.5670000000000001,-26.672,0.228,108.222,50.479,51903.0,199576213.0,106.7,120649547,10103463194196.0,170.41099999999997,0.7559999999999999,14.254,20.424,9.82,109.185,8.732999999999999,91.794,15.419,206500680326.0,1
-6394.0,79.66199999999998,37.588,4774,49.479,2935488070378.0,43.206,1397.0,3.943,-30.104,0.229,177.40099999999995,47.09,49638.0,125226051.0,114.48,117540312,10059351959366.0,198.795,0.611,16.045,20.546,9.585,107.246,8.773,63.022,16.3,279407205932.0,0
-21366.0,78.965,35.622,-5097,47.15,13870815785817.0,46.237,1555.0,4.759,14.504,0.22,234.832,48.462,50530.0,111873380.0,114.295,120594363,13995887670698.0,234.933,0.7759999999999999,22.445,20.52,8.884,107.912,8.735,73.62,24.437,335034430251.0,0
-64541.0,74.935,-2.195,24730,48.88800000000001,9165185386069.0,49.724,1568.0,4.0680000000000005,-34.599000000000004,0.209,255.322,50.018,48463.0,186870508.0,113.535,113490931,9803530087111.0,233.954,0.928,26.427,20.518,9.148,104.684,8.777999999999999,85.425,30.338,373382353283.0,1
17043.0,85.51,2.446,24150,50.8,7833249146750.0,45.838,1604.0,3.894,-62.619,0.2,191.935,48.261,45932.0,190348602.0,120.78,111475887,3648497243038.0,238.211,1.044,45.737,20.52,8.86,96.045,8.765,72.2,60.949,394450975028.0,1
86507.0,93.486,12.897,36363,53.124,4012858961550.0,47.847,1569.0,4.945,-77.064,0.198,129.358,49.074,47720.0,291210167.0,134.8,105734672,1448541822142.0,249.696,1.138,57.066,20.311,8.874,77.376,8.773,77.78699999999998,73.41199999999998,398240295486.0,1
28583.0,94.954,40.866,17757,50.729,5476250406580.0,52.771,1562.0,5.3820000000000014,-20.731,0.197,126.908,51.072,47474.0,228201201.0,139.74,102035546,2336684223240.0,231.753,1.12,45.06100000000001,20.382,8.623,75.672,8.747,91.25,47.593,384750314657.0,0
-16860.0,64.814,2.722,13448,49.50100000000001,15472961748919.0,52.785,1431.0,4.02,-7.416,0.193,106.881,51.077,47494.0,156235404.0,132.945,99254155,6442667670723.0,279.818,1.223,26.244,20.42,8.522,75.149,8.726,91.286,24.597,353981032540.0,0
-62420.0,44.25899999999999,-13.896,-16204,48.793,10033352419570.0,50.173,1508.0,1.987,21.233,0.185,90.598,50.153,48442.0,101632294.0,126.316,105101039,6731190038565.0,220.947,1.192,11.836,20.167,9.159,76.223,8.795,85.83200000000002,10.339,305932449136.0,0
-53695.0,38.056,-8.971,34786,47.113,9506049616838.0,44.003,1530.0,0.458,49.549,0.17,69.467,47.887,51724.0,71330450.0,124.045,111739510,6869440942885.0,216.518,1.051,9.75,20.183,8.647,77.941,8.753,72.582,8.531,240604564445.0,1
-10107.0,61.359,0.213,8917,48.956,17022426504462.0,53.424,1205.0,0.34,31.778,0.153,37.26300000000001,51.233,52005.0,246132989.0,130.56,110597981,6736500898664.0,252.767,1.0490000000000002,17.025,20.057,8.462,79.513,8.722000000000001,91.261,14.996,157997378467.0,1
34271.0,71.124,-0.591,12656,51.288,11251668296129.0,45.904,1387.0,0.79,38.034,0.14,24.599,48.437,51520.0,134413219.0,134.465,104924438,7563936886097.0,249.394,1.092,13.684,20.088,9.063,81.002,8.783,75.671,11.33,117894175148.0,0
48360.0,36.442,-18.433,7859,50.506,7379072634001.0,52.166,1527.0,0.03,25.241,0.13,28.606,50.745,50176.0,167913093.0,124.662,102013327,3900855256859.0,190.519,1.033,-10.138,20.156,9.3,82.271,8.831,88.1,-7.521,122027010373.0,0
49361.0,18.079,-26.314,-9907,52.304,-1549500535635.0,44.054,1489.0,-1.819,-22.624,0.126,52.76,47.61600000000001,50964.0,100383752.0,111.049,103551663,7107697631335.0,182.249,0.8270000000000001,-28.691,20.215,10.023,80.785,8.955,71.153,-20.532,180285137158.0,0
983.613,12.349,-21.079,-24285,51.256,10715129481463.0,44.077,1783.0,-3.528,-22.445,0.124,107.31,47.624,50913.0,82759349.0,102.694,103482267,4161540520953.0,195.103,0.584,-30.25,20.229,10.267,79.313,9.055,71.191,-22.754,226151456819.0,1
-12412.0,22.671,-10.763,-38897,49.515,9885538199522.0,33.677,1849.0,-3.8,-26.284,0.121,136.321,43.124,47760.0,52594931.0,105.04,106767474,3800971535123.0,215.177,0.441,-21.276,20.203,9.662,78.13,9.055,46.458,-16.843,259625969355.0,1
