mining_profitability90wma,price90emaUSD,price90smaUSD,price90stdUSD,difficulty14sma,mining_profitability30sma,mining_profitability90trx,median_transaction_fee90rocUSD,median_transaction_feeUSD,difficulty90var,difficulty14trx,price30varUSD,price90momUSD,price30wmaUSD,price3wmaUSD,fee_to_reward30stdUSD,price7smaUSD,mining_profitability,transactionfees90rsiUSD,category
6425.0,79.925,68.893,88.053,9194590.0,7461.0,0.488,449.258,0.0555,4703324940710.0,1.258,693.883,90.831,119.632,119.489,0.598,126.292,5352.0,52.97,1
6412.0,80.426,69.812,87.719,9273304.0,7334.0,0.493,412.829,0.0513,4828038402382.0,1.258,705.323,82.669,118.415,109.14,0.5870000000000001,121.97,5046.0,52.142,1
6413.0,80.967,70.757,87.384,9352018.0,7230.0,0.498,424.6880000000001,0.0525,4940278578686.0,1.256,713.182,85.02,117.387,105.259,0.534,118.931,5658.0,52.386,1
6426.0,81.681,71.794,87.171,9430732.0,7107.0,0.501,464.06,0.0567,5040045469621.0,1.249,712.21,93.348,116.942,108.861,0.546,117.419,6262.0,51.648,1
6421.0,82.369,72.82600000000002,86.898,9509446.0,6992.0,0.504,461.834,0.0565,5137023472602.0,1.235,706.495,92.891,116.501,111.83,0.536,114.911,5457.0,53.174,1
6418.0,82.985,73.825,86.53399999999998,9588160.0,6864.0,0.507,439.085,0.0552,5232294401290.0,1.214,690.4119999999998,89.9,115.935,111.766,0.5379999999999999,111.47,5568.0,51.985,1
6409.0,83.57,74.807,86.12899999999998,9666874.0,6705.0,0.509,416.517,0.0548,5316145264416.0,1.186,620.663,88.376,115.387,110.423,0.537,109.317,5355.0,53.087,1
6402.0,84.116,75.767,85.678,9745588.0,6441.0,0.51,392.975,0.0542,5388576061981.0,1.153,405.733,86.427,114.879,109.137,0.5489999999999999,108.942,5442.0,52.75,1
6402.0,84.696,76.742,85.24,9824302.0,6223.0,0.511,384.918,0.0553,5449586793985.0,1.114,259.572,87.744,114.695,109.675,0.5529999999999999,110.062,5770.0,52.622,0
6404.0,85.30799999999998,77.734,84.804,9903016.0,6184.0,0.511,383.653,0.0563,5499177460428.0,1.071,259.128,89.241,114.784,111.168,0.5429999999999999,111.128,5926.0,52.063,0
6390.0,85.88799999999998,78.712,84.318,9997790.0,6146.0,0.511,842.7339999999998,0.112,5555966504632.0,1.031,247.201,88.03200000000002,114.828,111.793,0.544,110.882,5199.0,52.168,0
6375.0,86.46799999999998,79.691,83.804,10155859.0,6098.0,0.51,365.605,0.0561,5683226128875.0,1.016,241.146,88.134,114.864,112.117,0.5329999999999999,110.773,5179.0,52.729,0
6349.0,86.955,80.62899999999998,83.18799999999997,10251062.0,6061.0,0.509,347.952,0.0543,5795029835465.0,1.015,227.512,84.383,114.638,110.354,0.536,110.524,4670.0,51.95399999999999,0
6320.0,87.34200000000001,81.51100000000002,82.49799999999998,10330417.0,6019.0,0.507,315.574,0.0523,5891377624403.0,1.019,207.533,79.411,114.113,107.206,0.525,109.807,4587.0,52.197,0
6300.0,87.774,82.40700000000002,81.832,10409771.0,6020.0,0.504,305.8640000000001,0.0535,5972269495688.0,1.023,158.959,80.63600000000002,113.707,106.464,0.594,109.604,4982.0,54.01600000000001,0
6286.0,88.273,83.34,81.17399999999998,10489126.0,6028.0,0.502,316.266,0.0552,6037705449320.0,1.025,113.564,83.948,113.458,108.342,0.555,109.597,5231.0,52.316,0
6270.0,88.81299999999997,84.29799999999999,80.50399999999998,10568480.0,6039.0,0.499,325.003,0.0564,6087685485299.0,1.021,99.055,86.27,113.289,111.071,0.5589999999999999,109.642,5206.0,51.331,0
6248.0,89.34200000000001,85.258,79.782,10647835.0,5997.0,0.495,325.655,0.0565,6151478207977.0,1.012,96.427,86.38,113.086,112.473,0.547,109.809,4934.0,52.577,0
6221.0,89.867,86.208,79.051,10727190.0,5924.0,0.491,308.758,0.0566,6202114660158.0,0.997,96.632,85.506,112.888,113.037,0.547,109.946,4693.0,52.025,0
6214.0,90.425,87.167,78.34,10806544.0,5891.0,0.487,298.335,0.0576,6238727655248.0,0.976,96.537,86.339,112.828,114.191,0.511,110.895,5631.0,51.95399999999999,0
6198.0,91.002,88.139,77.609,10885899.0,5862.0,0.483,298.53,0.0583,6261317193246.0,0.95,96.287,87.406,112.856,115.636,0.51,112.625,5211.0,52.559,0
6193.0,91.611,89.132,76.854,10965253.0,5820.0,0.479,305.7290000000001,0.0593,6269883274153.0,0.92,95.812,89.441,113.008,117.456,0.507,114.296,5784.0,52.56399999999999,0
6184.0,92.336,90.195,76.14,11044608.0,5757.0,0.474,329.53,0.0623,6264425897968.0,0.8859999999999999,86.575,95.595,113.545,121.315,0.502,116.312,5588.0,52.38399999999999,0
6176.0,93.114,91.294,75.415,11142784.0,5660.0,0.47,343.935,0.0639,6266845828596.0,0.855,72.165,98.953,114.305,125.18,0.502,118.442,5608.0,52.824,0
6160.0,93.897,92.405,74.641,11275090.0,5595.0,0.465,347.056,0.0644,6318752595334.0,0.8420000000000001,67.865,99.95,115.157,127.717,0.52,120.706,5311.0,51.862,0
6147.0,94.654,93.507,73.797,11344101.0,5562.0,0.46,340.462,0.0642,6352809780071.0,0.84,69.483,99.214,115.992,128.382,0.518,122.871,5450.0,52.79,0
6128.0,95.337,94.572,72.852,11413112.0,5477.0,0.455,321.21,0.0629,6369017382807.0,0.841,70.53399999999998,95.876,116.654,127.106,0.482,124.363,5226.0,52.871,0
6112.0,96.021,95.629,71.907,11482123.0,5413.0,0.45,303.086,0.0632,6367375403541.0,0.8420000000000001,66.944,95.064,117.358,126.516,0.474,125.755,5342.0,52.82100000000001,0
6101.0,96.707,96.673,70.976,11551134.0,5386.0,0.445,282.851,0.0636,6366377419091.0,0.841,59.442,94.008,118.122,126.72,0.481,126.976,5567.0,52.038,0
6078.0,97.36,97.71,69.95100000000001,11620145.0,5344.0,0.44,281.737,0.0632,6395258410585.0,0.836,60.659,93.305,118.85,126.698,0.484,127.236,5071.0,52.018,0
6073.0,98.009,98.759,68.829,11689156.0,5361.0,0.435,298.813,0.0647,6409172842506.0,0.8270000000000001,64.368,94.45,119.605,126.803,0.506,127.119,5865.0,51.56800000000001,0
6046.0,98.584,99.768,67.615,11758167.0,5356.0,0.429,86.09299999999998,0.0621,6408120714852.0,0.813,60.54,90.782,120.147,125.441,0.515,126.46,4901.0,52.801,0
6025.0,99.062,100.698,66.407,11827178.0,5341.0,0.424,228.541,0.0602,6392102027625.0,0.795,56.44300000000001,83.706,120.397,122.696,0.516,125.314,5209.0,53.06399999999999,0
6003.0,99.515,101.595,65.219,11896189.0,5303.0,0.418,206.963,0.0598,6361116780823.0,0.773,56.24,80.695,120.573,120.643,0.507,124.451,5139.0,52.293,0
5956.0,99.967,102.485,64.007,12059010.0,5256.0,0.413,200.318,0.06,6438715473404.0,0.7759999999999999,55.893,80.10600000000002,120.762,119.998,0.507,123.546,4025.0,53.022,0
5905.0,100.394,103.352,62.77,12374608.0,5198.0,0.406,189.145,0.0597,6773409257296.0,0.8390000000000001,54.287,78.098,120.89,119.673,0.519,122.424,3829.0,51.052,0
5852.0,100.715,104.151,61.503,12690207.0,5144.0,0.4,166.48,0.0575,7076921022618.0,0.934,52.303,71.85300000000002,120.716,117.319,0.528,120.794,3733.0,50.855,0
5801.0,100.932,104.886,60.197,12986984.0,5090.0,0.393,24.482,0.0553,7349250769370.0,1.041,51.088,66.167,120.246,113.528,0.516,118.462,3834.0,51.8,0
5736.0,101.042,105.562,58.849,13233571.0,5002.0,0.385,17.393,0.053,7590398497552.0,1.146,54.048,60.815,119.47,108.998,0.518,115.862,3133.0,50.793,0
5676.0,101.108,106.228,57.39,13480158.0,4917.0,0.378,135.92,0.052000000000000005,7800364207164.0,1.24,59.32899999999999,59.951,118.583,105.772,0.534,113.537,3358.0,50.486,0
5623.0,101.228,106.936,55.792,13726745.0,4866.0,0.37,149.042,0.0533,7979147898205.0,1.318,62.19300000000001,63.769,117.876,105.62,0.532,111.662,3690.0,51.574,0
5571.0,101.378,107.656,54.137,13973333.0,4816.0,0.361,149.52100000000004,0.054000000000000006,8159408765588.0,1.3769999999999998,64.186,64.747,117.276,106.887,0.541,109.941,3678.0,51.47,0
5509.0,101.5,108.36,52.40600000000001,14219920.0,4769.0,0.353,123.008,0.0535,8329634192341.0,1.416,65.244,63.349,116.614,107.248,0.535,108.163,3238.0,51.521,0
5452.0,101.53,109.012,50.625,14466507.0,4729.0,0.344,132.922,0.0514,8471283260415.0,1.436,66.782,58.69600000000001,115.691,105.084,0.504,106.426,3401.0,50.168,0
