difficulty14trx,fee_to_rewardUSD,median_transaction_fee90rocUSD,median_transaction_feeUSD,mining_profitability14var,mining_profitability30trx,mining_profitability3wma,price30varUSD,price30wmaUSD,priceUSD,sentinusd90stdUSD,size90ema,top100cap90mom,transactionvalue90trxUSD,category
1.235,1.264,461.834,0.0565,955507.0,0.5710000000000001,5759.0,706.495,116.501,113.005,202138623,160338.0,0.6890000000000001,0.909,0
1.214,1.103,439.085,0.0552,1003721.0,0.52,5647.0,690.4119999999999,115.935,110.375,201420038,160572.0,0.7190000000000001,0.9129999999999999,0
1.186,1.249,416.517,0.0548,1003028.0,0.46799999999999997,5443.0,620.663,115.387,109.595,200740124,160483.0,0.731,0.9159999999999999,0
1.153,1.585,392.975,0.0542,664000.0,0.41700000000000004,5434.0,405.733,114.87899999999999,108.42,200386240,161110.0,0.762,0.917,0
1.114,1.476,384.918,0.0553,569383.0,0.369,5591.0,259.572,114.695,110.54,199721389,161757.0,0.7340000000000001,0.9159999999999999,0
1.071,1.341,383.653,0.0563,555744.0,0.324,5793.0,259.128,114.78399999999999,112.50299999999999,199056082,162390.0,0.6859999999999999,0.9129999999999999,0
1.031,1.3319999999999999,842.7339999999999,0.11199999999999999,332926.0,0.27899999999999997,5537.0,247.201,114.82799999999999,111.738,198532769,162823.0,0.6509999999999999,0.9079999999999999,0
1.016,1.331,365.605,0.0561,181806.0,0.23399999999999999,5310.0,241.146,114.86399999999999,112.241,197573851,162953.0,0.5710000000000001,0.903,0
1.015,1.472,347.952,0.0543,193025.0,0.188,4928.0,227.512,114.63799999999999,108.635,196741610,163807.0,0.5870000000000001,0.8959999999999999,0
1.0190000000000001,1.6909999999999998,315.574,0.0523,190434.0,0.141,4714.0,207.533,114.113,104.575,196130687,164996.0,0.627,0.888,0
1.023,2.053,305.86400000000003,0.0535,201553.0,0.095,4799.0,158.959,113.70700000000001,107.0,195448046,165789.0,0.759,0.879,0
1.025,1.361,316.26599999999996,0.0552,195388.0,0.051,5041.0,113.564,113.458,110.492,194598385,165968.0,0.728,0.8690000000000001,0
1.021,1.054,325.003,0.0564,190859.0,0.011000000000000001,5177.0,99.055,113.289,112.815,193750095,166001.0,0.922,0.8590000000000001,0
1.012,1.198,325.655,0.0565,133946.0,-0.028999999999999998,5074.0,96.427,113.086,112.905,193458655,165462.0,0.91,0.847,0
0.997,1.3330000000000002,308.758,0.0566,150104.0,-0.068,4859.0,96.632,112.88799999999999,113.2,193097493,165801.0,0.909,0.835,0
0.976,1.22,298.335,0.0576,153720.0,-0.10099999999999999,5202.0,96.537,112.82799999999999,115.28,192397310,165980.0,0.737,0.823,0
0.95,1.2670000000000001,298.53,0.0583,151908.0,-0.133,5265.0,96.287,112.85600000000001,116.686,191511846,165822.0,0.785,0.81,0
0.92,1.285,305.72900000000004,0.0593,171947.0,-0.159,5567.0,95.81200000000001,113.008,118.696,190955103,165743.0,0.706,0.7959999999999999,0
0.8859999999999999,1.1340000000000001,329.53,0.0623,159746.0,-0.182,5591.0,86.575,113.545,124.605,190116802,165593.0,0.7829999999999999,0.7829999999999999,0
