difficulty90sma,fee_to_reward14stdUSD,mining_profitability90mom,mining_profitability90trx,price30varUSD,price90varUSD,priceUSD,top100cap90roc,category
3906368.0,0.555,4974.0,0.091,343.51800000000003,427.406,94.715,2.1830000000000003,0
3947659.0,0.563,5757.0,0.10400000000000001,405.594,485.111,107.749,2.1790000000000003,0
3988950.0,0.541,6575.0,0.11699999999999999,499.42199999999997,562.186,120.00299999999999,1.864,0
4030241.0,0.627,6518.0,0.132,596.59,643.239,123.56200000000001,2.302,0
4074968.0,0.627,7877.0,0.147,701.54,731.342,128.664,1.485,0
4127116.0,0.629,6611.0,0.163,812.71,827.367,134.114,1.171,0
4179265.0,0.5760000000000001,6962.0,0.179,941.058,937.173,142.08,0.72,0
4229880.0,0.578,8304.0,0.196,1159.0,1096.0,163.561,1.514,0
4279029.0,0.586,11242.0,0.215,1552.0,1346.0,195.39700000000002,1.699,0
4328179.0,0.527,10026.0,0.235,1786.0,1534.0,178.5,2.133,0
4377328.0,0.5429999999999999,5145.0,0.254,1742.0,1576.0,115.0,4.169,0
4426478.0,0.542,4077.0,0.273,1664.0,1586.0,92.446,3.92,0
4475627.0,0.5660000000000001,4304.0,0.29100000000000004,1584.0,1602.0,98.435,4.43,0
4524777.0,0.556,3409.0,0.307,1498.0,1609.0,91.84899999999999,4.743,0
4573926.0,0.551,3941.0,0.32299999999999995,1411.0,1610.0,87.10799999999999,6.064,1
4623075.0,0.561,2563.0,0.33799999999999997,1333.0,1602.0,75.043,6.763999999999999,1
4676283.0,0.611,3013.0,0.35100000000000003,1257.0,1595.0,77.734,6.239,1
4739892.0,0.531,2400.0,0.363,1181.0,1601.0,94.679,6.406000000000001,0
4803500.0,0.547,3496.0,0.375,1120.0,1617.0,106.7,6.356,0
4867108.0,0.512,4565.0,0.386,1075.0,1641.0,114.48,6.916,0
4930717.0,0.599,4312.0,0.397,1028.0,1663.0,114.295,6.992000000000001,0
4994325.0,0.598,3277.0,0.40700000000000003,970.5,1682.0,113.535,6.765,0
5058627.0,0.591,4534.0,0.41600000000000004,914.725,1709.0,120.78,6.499,0
5125355.0,0.599,4322.0,0.426,880.7289999999999,1755.0,134.8,6.013,0
5192083.0,0.5870000000000001,5828.0,0.435,852.3989999999999,1805.0,139.74,6.126,0
5258811.0,0.621,3996.0,0.444,824.092,1841.0,132.945,5.513,0
5325539.0,0.607,3524.0,0.45299999999999996,798.309,1864.0,126.316,4.096,0
5392267.0,0.675,4843.0,0.461,769.4680000000001,1881.0,124.045,4.196000000000001,0
5458995.0,0.619,3953.0,0.469,743.0189999999999,1905.0,130.56,3.372,0
5535502.0,0.619,3167.0,0.47600000000000003,719.012,1932.0,134.465,3.072,0
5614474.0,0.504,2620.0,0.483,696.544,1944.0,124.662,3.627,0
5693447.0,0.541,2339.0,0.488,693.883,1938.0,111.04899999999999,3.8569999999999998,0
5772419.0,0.499,1784.0,0.493,705.323,1924.0,102.694,4.218,0
