activeaddresses30trx,difficulty14ema,difficulty7ema,difficulty7trx,difficulty90std,hashrate14std,hashrate14var,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability14sma,mining_profitability14wma,mining_profitability30ema,mining_profitability30wma,mining_profitability3wma,mining_profitability7sma,mining_profitability90sma,mining_profitability90trx,price30momUSD,price30stdUSD,price30varUSD,price3trxUSD,price7momUSD,price7rocUSD,price7rsiUSD,price90momUSD,price90rocUSD,priceUSD,sentinusd90varUSD,top100cap,top100cap14mom,top100cap14roc,top100cap14trx,top100cap30roc,top100cap30rsi,top100cap90wma,category
0.5379999999999999,6096133.0,6526779.0,2.593,2161986.0,11490406893431.0,3.3007362644153e+25,0.0474,64.987,6279.0,6442.0,5603.0,5894.0,7035.0,6562.0,3913.0,0.091,61.597,37.068000000000005,343.51800000000003,3.7230000000000003,25.57,36.98,96.992,81.308,606.456,94.715,1972498548856190.0,19.962,0.607,3.135,0.063,3.6,65.405,19.428,1
0.569,6176092.0,6569041.0,2.333,2230475.0,11315233330806.0,3.2008626332648e+25,0.0539,94.955,6503.0,6670.0,5757.0,6058.0,7564.0,6924.0,3977.0,0.10400000000000001,75.291,40.279,405.594,5.184,36.045,50.27,98.20100000000001,94.54799999999999,716.2180000000001,107.749,2512206975337500.0,20.024,0.682,3.5260000000000002,0.07400000000000001,3.498,66.711,19.442,1
0.611,6245390.0,6600737.0,2.064,2293952.0,10182774073258.0,2.5922221956752996e+25,0.06,102.53299999999999,6645.0,6984.0,5957.0,6269.0,8293.0,7363.0,4050.0,0.11699999999999999,86.649,44.695,499.42199999999997,6.968,40.765,51.448,98.75200000000001,106.79,808.284,120.00299999999999,3061579276452069.0,19.987000000000002,0.575,2.964,0.085,3.051,65.191,19.454,1
0.6629999999999999,6305448.0,6624509.0,1.801,2352822.0,10042649490131.0,2.5213702195409e+25,0.0618,123.314,6794.0,7268.0,6139.0,6465.0,8671.0,7555.0,4122.0,0.132,86.935,48.85,596.59,7.181,37.81,44.093,98.869,110.34299999999999,834.762,123.56200000000001,3594358184437960.0,19.99,0.608,3.139,0.094,3.408,65.257,19.467,0
0.716,6398730.0,6719647.0,1.6340000000000001,2423226.0,10254314157412.0,2.6287739709724e+25,0.0643,125.18299999999999,7008.0,7689.0,6385.0,6726.0,9376.0,8052.0,4210.0,0.147,89.67399999999999,52.973,701.54,6.652,42.073,48.589,99.022,115.491,876.762,128.664,4025910039371692.0,19.833,0.47200000000000003,2.439,0.1,2.285,59.122,19.477,0
0.762,6568632.0,6957985.0,1.673,2526499.0,10516744526294.0,2.7650478857832e+25,0.0671,90.165,7170.0,7944.0,6548.0,6909.0,9241.0,8384.0,4283.0,0.163,94.124,57.016000000000005,812.71,5.982,46.659,53.353,99.164,120.991,922.051,134.114,4134147712896400.0,19.833,0.489,2.5269999999999997,0.10300000000000001,2.292,59.132,19.486,0
0.8029999999999999,6715881.0,7136739.0,1.756,2621567.0,10841862131140.0,2.9386493617664e+25,0.071,64.295,7477.0,8243.0,6733.0,7115.0,9339.0,8732.0,4360.0,0.179,100.79,61.353,941.058,5.654,53.03,59.552,99.329,128.918,979.512,142.08,4189924253778543.0,19.767,0.385,1.984,0.10300000000000001,1.339,56.711000000000006,19.494,0
0.852,6843497.0,7270804.0,1.81,2711968.0,11052546653601.0,3.0539696882505997e+25,0.0818,130.618,7854.0,8596.0,6952.0,7357.0,9687.0,9147.0,4453.0,0.196,120.4,68.074,1159.0,6.915,68.845,72.687,99.587,150.154,1120.0,163.561,4527514247110103.0,19.689,0.244,1.255,0.1,0.889,54.048,19.499000000000002,0
0.904,6954098.0,7371353.0,1.8090000000000002,2798086.0,10949074860693.0,2.9970560076263003e+25,0.0977,193.144,8419.0,9329.0,7365.0,7797.0,11619.0,9913.0,4578.0,0.215,150.97799999999998,78.796,1552.0,9.62,87.647,81.344,99.75200000000001,181.794,1337.0,195.39700000000002,5723343167897318.0,19.714000000000002,0.12300000000000001,0.626,0.095,1.5490000000000002,54.763000000000005,19.506,0
0.968,7049951.0,7446765.0,1.755,2878277.0,10017080685539.0,2.5085476365151003e+25,0.0892,339.149,8884.0,9847.0,7683.0,8152.0,12290.0,10406.0,4689.0,0.235,133.379,84.51899999999999,1786.0,7.834,58.497,48.746,79.994,164.748,1198.0,178.5,7784050314044818.0,19.762,0.09300000000000001,0.47100000000000003,0.09,1.646,56.115,19.512999999999998,0
