activeaddresses,activeaddresses7trx,confirmationtime,confirmationtime14wma,confirmationtime30sma,confirmationtime3ema,confirmationtime3wma,confirmationtime7wma,difficulty14var,fee_to_reward14emaUSD,fee_to_reward3stdUSD,fee_to_reward7emaUSD,fee_to_rewardUSD,hashrate14trx,hashrate30mom,hashrate7std,median_transaction_feeUSD,mediantransactionvalue14momUSD,mediantransactionvalue14rocUSD,mediantransactionvalueUSD,price14rsiUSD,price30rocUSD,price30rsiUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3trxUSD,price7momUSD,price7rocUSD,price7rsiUSD,priceUSD,size3sma,size90mom,size90roc,size90sma,top100cap90rsi,transactions3var,transactions7var,transactionvalueUSD,category
172708,-0.35200000000000004,7.7010000000000005,8.764,8.562000000000001,8.322000000000001,8.252,8.757,2.73340880221495e+17,0.313,0.10099999999999999,0.302,0.221,1.357,2.65904729173696e+16,8035747963637746.0,0.0416,-24.058000000000003,-25.665,69.681,30.381999999999998,-34.293,35.955999999999996,8.173,2.005,38.096,-1.114,-43.449,-9.459,31.683000000000003,415.876,185293.0,-4135.0,-2.485,213146.0,39.016,60848065.0,61367009.0,3332.0,1
183291,-0.217,7.461,8.617,8.519,7.892,7.787999999999999,8.347999999999999,2.48102941592556e+17,0.314,0.08900000000000001,0.306,0.318,1.386,2.30060718727577e+16,9609428724001160.0,0.0446,5.261,4.783,115.249,40.133,-29.386999999999997,39.635,42.571000000000005,10.555,70.335,0.065,-8.132,-1.791,49.972,445.898,182757.0,41579.0,23.831999999999997,213608.0,39.181999999999995,97572604.0,68917641.0,3990.0,1
199054,0.142,7.912000000000001,8.536,8.502,7.902,7.727,8.126,2.10227557852209e+17,0.32,0.11800000000000001,0.32,0.36200000000000004,1.429,2.40913457459806e+16,9243474265683340.0,0.0488,-10.904000000000002,-8.138,123.089,50.516999999999996,-22.795,44.245,62.356,14.661,85.785,1.976,36.256,8.032,65.126,487.666,206616.0,79397.0,48.968,214490.0,39.028,93114060.0,79759514.0,4479.0,1
185075,0.408,9.057,8.613,8.506,8.479,8.408999999999999,8.291,1.5971472900046e+17,0.325,0.04,0.33,0.359,1.4369999999999998,1.4064174257869e+16,8257988817920581.0,0.0517,10.702,8.986,129.799,56.317,-17.227,47.21,101.478,24.401,90.86,3.574,70.244,15.710999999999999,72.127,517.354,242857.0,111528.0,69.942,215730.0,39.263000000000005,2985483.0,83361735.0,6046.0,0
157751,0.335,8.521,8.601,8.461,8.5,8.597999999999999,8.318,1.03002892607934e+17,0.32899999999999996,0.006,0.336,0.355,1.426,2.05825428065401e+16,7896821789984330.0,0.0505,-5.432,-5.037,102.416,53.606,-17.612000000000002,46.192,59.563,13.357999999999999,74.81,3.45,97.758,23.978,65.94,505.461,245385.0,33772.0,17.788,216105.0,38.887,9675500.0,80630826.0,6384.0,0
149452,0.052000000000000005,9.0,8.639,8.461,8.75,8.85,8.492,7.68820566390784e+16,0.326,0.05,0.32799999999999996,0.304,1.409,2.27473150313386e+16,5729152116915892.0,0.0485,-5.073,-4.498,107.713,49.276,-20.934,44.50899999999999,-2.371,-0.486,51.62,2.186,81.96799999999999,20.323,56.373999999999995,485.296,233364.0,61005.0,42.225,216783.0,38.626,23687380.0,83292383.0,6461.0,1
141149,-0.35200000000000004,9.057,8.67,8.492,8.902999999999999,8.948,8.664,8.96042708108001e+16,0.325,0.043,0.325,0.317,1.399,2.07739454307368e+16,4589840207930585.0,0.0491,1.6230000000000002,1.953,84.76299999999999,50.486000000000004,-17.625,45.09,-26.393,-5.102,57.21,1.318,65.65100000000001,15.436,58.354,490.961,207449.0,50727.0,35.595,217346.0,38.622,23908539.0,64164382.0,4168.0,1
164288,-0.529,8.09,8.566,8.504,8.497,8.564,8.59,1.21668603003855e+17,0.314,0.063,0.305,0.244,1.396,2.09511175301738e+16,4836725789670666.0,0.0501,6.079,7.43,87.891,52.698,-13.905,46.153,-4.19,-0.8290000000000001,67.469,1.037,85.395,20.534000000000002,62.015,501.27099999999996,189409.0,-14718.0,-7.989,217183.0,38.567,10646258.0,71657872.0,4180.0,0
142367,-0.777,8.421,8.519,8.502,8.459,8.417,8.584,1.46201493722817e+17,0.311,0.06,0.302,0.292,1.416,2.3750539021172e+16,6885870115801282.0,0.0499,-11.308,-11.872,83.943,52.138000000000005,-11.427999999999999,45.948,13.674000000000001,2.818,62.457,0.777,53.071999999999996,11.902000000000001,60.628,498.97,184455.0,-29297.0,-13.322000000000001,216857.0,38.524,13723383.0,62405150.0,6198.0,0
183641,-0.627,9.351,8.607000000000001,8.589,8.905,8.831,8.777000000000001,1.63202942967636e+17,0.32299999999999995,0.127,0.325,0.396,1.4140000000000001,1.46114512745533e+16,6796932475200878.0,0.0492,-22.415,-20.284000000000002,88.09299999999999,50.32,-12.876,45.29,0.743,0.151,46.196999999999996,0.36700000000000005,4.038,0.828,56.011,491.704,216056.0,116296.0,67.715,218149.0,38.21,146959401.0,84113325.0,5470.0,0
