difficulty14roc,difficulty14sma,difficulty14trx,difficulty14wma,difficulty3ema,difficulty7ema,difficulty7trx,hashrate30trx,hashrate30wma,median_transaction_fee3trxUSD,median_transaction_feeUSD,mediantransactionvalue30smaUSD,mediantransactionvalueUSD,mining_profitability30ema,mining_profitability30std,mining_profitability3sma,mining_profitability3wma,mining_profitability7sma,mining_profitability90ema,mining_profitability90sma,mining_profitability90std,mining_profitability90var,mining_profitability90wma,price14rsiUSD,price30varUSD,price7rsiUSD,priceUSD,size90trx,top100cap,top100cap30roc,top100cap90roc,top100cap90rsi,category
14.594000000000001,7415895.0,1.646,7591716.0,7672196.0,7619313.0,1.085,1.52,60168672260366.0,-8.286,0.0436,84.32700000000001,69.25399999999999,7291.0,4198.0,6080.0,5958.0,8193.0,5521.0,4921.0,4348.0,4725580.0,5958.0,44.949,1411.0,35.016,87.10799999999999,0.315,20.385,5.048,6.064,54.059,1
14.594000000000001,7485694.0,1.5759999999999998,7625997.0,7672598.0,7632735.0,0.943,1.511,60877604016506.0,-8.562999999999999,0.0375,84.83200000000001,54.821000000000005,7139.0,4198.0,5527.0,5387.0,6991.0,5508.0,4949.0,4314.0,4652684.0,5958.0,41.586000000000006,1333.0,30.796999999999997,75.043,0.314,20.518,5.801,6.763999999999999,55.141999999999996,1
20.049,7581583.0,1.516,7699674.0,7855437.0,7734120.0,0.89,1.501,61514797427390.0,-7.6979999999999995,0.0389,85.32700000000001,70.344,7001.0,4169.0,5269.0,5126.0,5948.0,5497.0,4983.0,4268.0,4554470.0,5959.0,42.618,1257.0,32.900999999999996,77.734,0.313,20.389,5.34,6.239,53.895,1
34.028,7744331.0,1.496,7885369.0,8414867.0,8044164.0,1.0659999999999998,1.494,62399457227446.0,-4.013999999999999,0.0473,86.354,91.95700000000001,6864.0,4168.0,4940.0,4930.0,5631.0,5483.0,5009.0,4235.0,4484198.0,5957.0,48.753,1181.0,45.151,94.679,0.311,20.427,5.611000000000001,6.406000000000001,54.205,1
28.112,7884991.0,1.4969999999999999,8049365.0,8694581.0,8276697.0,1.285,1.479,62437535083100.0,0.5670000000000001,0.0534,87.491,91.794,6821.0,4184.0,5361.0,5559.0,5608.0,5499.0,5048.0,4214.0,4439211.0,5983.0,52.623000000000005,1120.0,52.351000000000006,106.7,0.31,20.424,5.2139999999999995,6.356,54.173,0
16.959,7977940.0,1.505,8194605.0,8834439.0,8451097.0,1.463,1.462,62755459372970.0,3.943,0.0572,87.941,63.022,6825.0,4181.0,5988.0,6323.0,5650.0,5530.0,5099.0,4191.0,4391660.0,6024.0,54.992,1075.0,56.648,114.48,0.309,20.546,6.011,6.916,55.163000000000004,0
16.959,8070890.0,1.514,8327453.0,8904367.0,8581897.0,1.565,1.45,63809760251770.0,4.7589999999999995,0.0571,88.62899999999999,73.62,6812.0,4186.0,6567.0,6637.0,5770.0,5553.0,5147.0,4161.0,4328140.0,6057.0,54.922,1028.0,56.506,114.295,0.307,20.52,5.989,6.992000000000001,54.906000000000006,0
16.959,8163840.0,1.517,8447907.0,8939332.0,8679996.0,1.5919999999999999,1.439,64554604363742.0,4.0680000000000005,0.0568,90.088,85.425,6764.0,4204.0,6522.0,6384.0,5798.0,5565.0,5183.0,4135.0,4274100.0,6077.0,54.613,970.5,55.839,113.535,0.306,20.518,6.068,6.765,54.886,0
16.959,8256789.0,1.5119999999999998,8555968.0,8956814.0,8753571.0,1.556,1.4280000000000002,65283995631790.0,3.8939999999999997,0.0604,91.163,72.2,6782.0,4129.0,6578.0,6651.0,6100.0,5597.0,5234.0,4114.0,4231763.0,6118.0,57.091,914.725,60.968999999999994,120.78,0.304,20.52,5.872000000000001,6.499,54.901,0
16.959,8349739.0,1.4969999999999999,8651635.0,8965555.0,8808753.0,1.473,1.4180000000000001,66068339192692.0,4.945,0.0674,92.15299999999999,77.78699999999999,6827.0,4024.0,6862.0,7097.0,6452.0,5638.0,5282.0,4117.0,4236623.0,6167.0,61.475,880.7289999999999,69.079,134.8,0.302,20.311,4.452,6.013,52.873999999999995,0
