difficulty14ema,difficulty14sma,difficulty14wma,difficulty30ema,difficulty30mom,difficulty30roc,difficulty30sma,difficulty30trx,difficulty30var,difficulty3ema,difficulty7ema,difficulty7sma,difficulty90mom,difficulty90var,difficulty90wma,fee_to_rewardUSD,hashrate14trx,hashrate14var,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability90trx,price30wmaUSD,price7rsiUSD,price90emaUSD,price90smaUSD,priceUSD,sentinusd90stdUSD,top100cap,category
6096133.0,5956136.0,6368099.0,5385392.0,2327950.0,53.297,5182950.0,1.046,901878886924.0,6690038.0,6526779.0,6695826.0,3716190.0,1168545930405.0,4430808.0,0.867,2.0,3.3007362644153e+25,0.0474,64.987,7220.0,0.091,66.298,96.992,39.444,32.485,94.715,88825639,19.962,1
6176092.0,6088148.0,6466725.0,5469936.0,2327950.0,53.297,5260549.0,1.085,950005633515.0,6692932.0,6569041.0,6695826.0,3716190.0,1243754847226.0,4492115.0,1.338,2.017,3.2008626332648e+25,0.0539,94.955,7990.0,0.10400000000000001,69.605,98.20100000000001,40.945,33.536,107.749,100243842,20.024,1
6245390.0,6220161.0,6547748.0,5549026.0,2327950.0,53.297,5338147.0,1.122,986089374520.0,6694379.0,6600737.0,6695826.0,3716190.0,1315553871298.0,4552514.0,1.5959999999999999,2.015,2.5922221956752996e+25,0.06,102.53299999999999,8852.0,0.11699999999999999,73.541,98.75200000000001,42.681999999999995,34.722,120.00299999999999,110663079,19.987000000000002,0
6305448.0,6352174.0,6611170.0,5623013.0,2327950.0,53.297,5415745.0,1.1540000000000001,1010130109937.0,6695103.0,6624509.0,6695826.0,3716190.0,1383943002621.0,4612006.0,1.9480000000000002,1.969,2.5213702195409e+25,0.0618,123.314,8777.0,0.132,77.521,98.869,44.46,35.948,123.56200000000001,119905933,19.99,0
6398730.0,6506275.0,6698222.0,5712177.0,2637182.0,60.376999999999995,5503651.0,1.1840000000000002,1049998827349.0,6850081.0,6719647.0,6740002.0,4025422.0,1468006625051.0,4677386.0,1.432,1.8730000000000002,2.6287739709724e+25,0.0643,125.18299999999999,9950.0,0.147,81.643,99.022,46.31100000000001,37.231,128.664,126900119,19.833,0
6568632.0,6708086.0,6853785.0,5838682.0,3305124.0,75.669,5613822.0,1.216,1151730788639.0,7261540.0,6957985.0,6879599.0,4693363.0,1595799220682.0,4756464.0,0.9470000000000001,1.8,2.7650478857832e+25,0.0671,90.165,8923.0,0.163,85.92299999999999,99.164,48.24,38.576,134.114,128594677,19.833,0
6715881.0,6857511.0,6982440.0,5957025.0,3305124.0,75.669,5723993.0,1.248,1229187540768.0,7467270.0,7136739.0,7019195.0,4693363.0,1718152888140.0,4834395.0,1.3019999999999998,1.745,2.9386493617664e+25,0.071,64.295,9411.0,0.179,90.515,99.329,50.303000000000004,40.008,142.08,129459248,19.767,0
6843497.0,6927309.0,7091172.0,6067733.0,3305124.0,75.669,5834164.0,1.2790000000000001,1282369083736.0,7570135.0,7270804.0,7158791.0,4555363.0,1838692472962.0,4911181.0,1.183,1.7009999999999998,3.0539696882505997e+25,0.0818,130.618,10124.0,0.196,96.27600000000001,99.587,52.792,41.677,163.561,134573612,19.689,0
6954098.0,6997107.0,7190598.0,6171299.0,3305124.0,75.669,5944335.0,1.308,1311275417545.0,7621567.0,7371353.0,7298387.0,4423450.0,1957321566010.0,4986854.0,1.11,1.67,2.9970560076263003e+25,0.0977,193.144,13352.0,0.215,103.83200000000001,99.75200000000001,55.926,43.696000000000005,195.39700000000002,151305561,19.714000000000002,0
7049951.0,7066905.0,7280717.0,6268182.0,3305124.0,75.669,6054505.0,1.335,1315906542194.0,7647284.0,7446765.0,7437983.0,4423450.0,2071119322547.0,5061446.0,1.34,1.669,2.5085476365151003e+25,0.0892,339.149,12305.0,0.235,109.97399999999999,79.994,58.62,45.527,178.5,176454530,19.762,0
