difficulty14ema,difficulty14mom,difficulty14sma,difficulty14var,difficulty14wma,difficulty30roc,difficulty30wma,difficulty3ema,fee_to_reward7smaUSD,fee_to_reward90emaUSD,fee_to_reward90wmaUSD,hashrate30trx,median_transaction_feeUSD,mining_profitability,mining_profitability30sma,mining_profitability90trx,price14rsiUSD,price30stdUSD,price7rsiUSD,price90smaUSD,priceUSD,sentinusd90varUSD,sentinusdUSD,size14std,size30ema,top100cap14trx,top100cap30mom,top100cap30rsi,top100cap90rsi,transactionvalue30varUSD,transactionvalue90stdUSD,category
7492887.0,1342450.0,7581583.0,101245830091.0,7699674.0,65.818,7275186.0,7855437.0,1.431,1.227,1.2919999999999998,1.501,0.0389,5006.0,7308.0,0.35100000000000003,42.618,70.916,32.900999999999996,51.513000000000005,77.734,7990503288007726.0,133646545.0,43808.0,169604.0,0.121,1.034,65.99600000000001,53.895,2113889.0,2874.0,1
7690408.0,2278470.0,7744331.0,157265062272.0,7885369.0,85.12700000000001,7417786.0,8414867.0,1.3719999999999999,1.225,1.2890000000000001,1.494,0.0473,4878.0,7308.0,0.363,48.753,68.73100000000001,45.151,52.395,94.679,1.028584101527e+16,553228048.0,41036.0,167980.0,0.129,1.085,66.60600000000001,54.205,4569337.0,3582.0,1
7861593.0,1969238.0,7884991.0,206500680326.0,8049365.0,85.12700000000001,7551512.0,8694581.0,1.415,1.2329999999999999,1.297,1.479,0.0534,6198.0,7286.0,0.375,52.623000000000005,66.925,52.351000000000006,53.41,106.7,1.03407590766357e+16,199576213.0,44648.0,170793.0,0.136,1.012,66.502,54.173,4532981.0,3587.0,0
8009954.0,1301296.0,7977940.0,279407205932.0,8194605.0,85.12700000000001,7676363.0,8834439.0,1.4480000000000002,1.232,1.295,1.462,0.0572,6887.0,7293.0,0.386,54.992,65.561,56.648,54.512,114.48,1.02759037570909e+16,125226051.0,44784.0,169930.0,0.14300000000000002,1.165,68.447,55.163000000000004,4516867.0,3581.0,0
8138533.0,1301296.0,8070890.0,335034430251.0,8327453.0,85.12700000000001,7792340.0,8904367.0,1.358,1.2209999999999999,1.284,1.45,0.0571,6616.0,7281.0,0.397,54.922,64.134,56.506,55.606,114.295,1.02026710857112e+16,111873380.0,49375.0,166905.0,0.15,1.16,67.578,54.906000000000006,4437163.0,3573.0,0
8249968.0,1301296.0,8163840.0,373382353283.0,8447907.0,85.12700000000001,7899442.0,8939332.0,1.275,1.2209999999999999,1.2819999999999998,1.439,0.0568,6062.0,7262.0,0.40700000000000003,54.613,62.306000000000004,55.839,56.683,113.535,1.02169580937716e+16,186870508.0,48724.0,165624.0,0.154,1.1740000000000002,67.509,54.886,4340840.0,3591.0,0
8346545.0,1301296.0,8256789.0,394450975028.0,8555968.0,60.799,7997670.0,8956814.0,1.314,1.226,1.286,1.4280000000000002,0.0604,7056.0,7326.0,0.41600000000000004,57.091,60.489,60.968999999999994,57.836000000000006,120.78,1.02578568307853e+16,190348602.0,48451.0,166194.0,0.158,1.138,67.54,54.901,4168354.0,3596.0,0
8430245.0,1301296.0,8349739.0,398240295486.0,8651635.0,34.028,8088601.0,8965555.0,1.264,1.232,1.2919999999999998,1.4180000000000001,0.0674,7469.0,7414.0,0.426,61.475,59.354,69.079,59.145,134.8,1.0572220255092e+16,291210167.0,53262.0,168992.0,0.157,0.866,60.742,52.873999999999995,4127242.0,3630.0,0
8502785.0,1301296.0,8442689.0,384750314657.0,8734910.0,34.028,8174631.0,8969925.0,1.2990000000000002,1.236,1.294,1.406,0.0699,8539.0,7517.0,0.435,62.913000000000004,58.391999999999996,71.513,60.511,139.74,1.06574153798813e+16,228201201.0,46753.0,169420.0,0.154,0.7909999999999999,62.091,53.468,4094710.0,3637.0,0
8565653.0,1301296.0,8535639.0,353981032540.0,8805791.0,34.028,8255762.0,8972111.0,1.206,1.229,1.287,1.3980000000000001,0.0665,7248.0,7566.0,0.444,59.617,57.413999999999994,63.494,61.797,132.945,1.05967605393288e+16,156235404.0,46973.0,168657.0,0.15,0.75,62.787,53.777,4110287.0,3628.0,0
