activeaddresses30trx,difficulty14wma,difficulty7ema,hashrate14std,hashrate14var,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability14sma,mining_profitability30sma,mining_profitability30wma,mining_profitability3sma,mining_profitability3wma,mining_profitability7sma,mining_profitability7std,mining_profitability7wma,mining_profitability90ema,mining_profitability90trx,price14rsiUSD,price30stdUSD,price30varUSD,price3rsiUSD,price7rsiUSD,price90smaUSD,priceUSD,sentinusd90stdUSD,sentinusd90varUSD,top100cap14roc,top100cap14trx,top100cap30mom,top100cap30roc,top100cap30rsi,top100cap90mom,top100cap90roc,top100cap90rsi,top100cap90wma,transactionfees7trxUSD,category
1.135,7495236.0,7577557.0,9520248625628.0,2.2658783473440997e+25,0.0492,70.79899999999999,8852.0,7215.0,8069.0,6682.0,6600.0,9320.0,5181.0,8526.0,5507.0,0.29100000000000004,48.207,79.6,1584.0,25.888,38.954,48.46,98.435,180253241,8122807695514600.0,0.9079999999999999,0.094,0.647,3.3169999999999997,63.785,0.8540000000000001,4.43,51.927,19.561,1.537,1
1.156,7548129.0,7601418.0,8642170438363.0,1.8671777471428998e+25,0.0459,48.534,8767.0,7258.0,7976.0,6245.0,6148.0,8801.0,5738.0,7641.0,5513.0,0.307,46.316,77.413,1498.0,22.478,36.71,49.325,91.84899999999999,179634857,8067170488348222.0,1.527,0.09699999999999999,0.74,3.8139999999999996,63.997,0.912,4.743,52.023999999999994,19.576,0.379,1
1.1740000000000002,7591716.0,7619313.0,8456329193286.0,1.7877375856304e+25,0.0436,69.25399999999999,8670.0,7296.0,7886.0,6080.0,5958.0,8193.0,5947.0,6907.0,5521.0,0.32299999999999995,44.949,75.138,1411.0,19.679000000000002,35.016,50.138000000000005,87.10799999999999,179207184,8028803704851272.0,2.1180000000000003,0.10300000000000001,0.98,5.048,68.17699999999999,1.166,6.064,54.059,19.596,-0.062,1
1.188,7625997.0,7632735.0,9003122564089.0,2.0264053976004e+25,0.0375,54.821000000000005,8452.0,7295.0,7734.0,5527.0,5387.0,6991.0,4520.0,6093.0,5508.0,0.33799999999999997,41.586000000000006,73.028,1333.0,13.339,30.796999999999997,50.81399999999999,75.043,179035829,8013457056821549.0,2.468,0.11199999999999999,1.125,5.801,70.193,1.3,6.763999999999999,55.141999999999996,19.619,-0.995,1
1.2,7699674.0,7734120.0,9283783720397.0,2.1547160041776e+25,0.0389,70.344,8177.0,7308.0,7586.0,5269.0,5126.0,5948.0,1482.0,5596.0,5497.0,0.35100000000000003,42.618,70.916,1257.0,21.773000000000003,32.900999999999996,51.513000000000005,77.734,178779230,7990503288007726.0,2.011,0.121,1.034,5.34,65.99600000000001,1.197,6.239,53.895,19.639,-1.23,1
1.2,7885369.0,8044164.0,9335855483737.0,2.1789549403306e+25,0.0473,91.95700000000001,7899.0,7308.0,7430.0,4940.0,4930.0,5631.0,1304.0,5329.0,5483.0,0.363,48.753,68.73100000000001,1181.0,59.235,45.151,52.395,94.679,202838271,1.028584101527e+16,2.186,0.129,1.085,5.611000000000001,66.60600000000001,1.23,6.406000000000001,54.205,19.659000000000002,-1.473,1
1.2,8049365.0,8276697.0,6867867583257.0,1.1791901285289e+25,0.0534,91.794,7630.0,7286.0,7358.0,5361.0,5559.0,5608.0,1257.0,5471.0,5499.0,0.375,52.623000000000005,66.925,1120.0,72.99600000000001,52.351000000000006,53.41,106.7,203379046,1.03407590766357e+16,2.98,0.136,1.012,5.2139999999999995,66.502,1.22,6.356,54.173,19.679000000000002,-1.483,1
1.187,8194605.0,8451097.0,6669387347744.0,1.1120181898562e+25,0.0572,63.022,7485.0,7293.0,7332.0,5988.0,6323.0,5650.0,1397.0,5790.0,5530.0,0.386,54.992,65.561,1075.0,79.66199999999999,56.648,54.512,114.48,202740265,1.02759037570909e+16,3.596,0.14300000000000002,1.165,6.011,68.447,1.329,6.916,55.163000000000004,19.701,-1.213,1
1.161,8327453.0,8581897.0,8795120977447.0,1.9338538251980997e+25,0.0571,73.62,7285.0,7281.0,7289.0,6567.0,6637.0,5770.0,1555.0,6032.0,5553.0,0.397,54.922,64.134,1028.0,78.965,56.506,55.606,114.295,202016545,1.02026710857112e+16,3.813,0.15,1.16,5.989,67.578,1.341,6.992000000000001,54.906000000000006,19.722,-1.203,1
1.1340000000000001,8447907.0,8679996.0,9262090593183.0,2.1446580539080998e+25,0.0568,85.425,6995.0,7262.0,7210.0,6522.0,6384.0,5798.0,1568.0,6105.0,5565.0,0.40700000000000003,54.613,62.306000000000004,970.5,74.935,55.839,56.683,113.535,202157939,1.02169580937716e+16,4.212,0.154,1.1740000000000002,6.068,67.509,1.3,6.765,54.886,19.743,-0.8909999999999999,1
1.1079999999999999,8555968.0,8753571.0,9756455715691.0,2.3797107033062e+25,0.0604,72.2,6545.0,7326.0,7197.0,6578.0,6651.0,6100.0,1604.0,6419.0,5597.0,0.41600000000000004,57.091,60.489,914.725,85.51,60.968999999999994,57.836000000000006,120.78,202562157,1.02578568307853e+16,4.088,0.158,1.138,5.872000000000001,67.54,1.252,6.499,54.901,19.764,-0.35600000000000004,1
1.084,8651635.0,8808753.0,10312006913815.0,2.6584371647643003e+25,0.0674,77.78699999999999,6200.0,7414.0,7206.0,6862.0,7097.0,6452.0,1569.0,6762.0,5638.0,0.426,61.475,59.354,880.7289999999999,93.486,69.079,59.145,134.8,205642605,1.0572220255092e+16,2.773,0.157,0.866,4.452,60.742,1.1520000000000001,6.013,52.873999999999995,19.78,0.34600000000000003,0
1.0590000000000002,8734910.0,8850138.0,10452935405119.0,2.7315964645895e+25,0.0699,91.25,6303.0,7517.0,7278.0,7688.0,7935.0,6975.0,1562.0,7283.0,5702.0,0.435,62.913000000000004,58.391999999999996,852.3989999999999,94.954,71.513,60.511,139.74,206469517,1.06574153798813e+16,0.953,0.154,0.7909999999999999,4.035,62.091,1.177,6.126,53.468,19.797,1.085,0
1.03,8805791.0,8881178.0,11647852386545.0,3.3918116304684e+25,0.0665,91.286,6367.0,7566.0,7261.0,7752.0,7715.0,7125.0,1431.0,7351.0,5736.0,0.444,59.617,57.413999999999994,824.092,64.814,63.494,61.797,132.945,205881136,1.05967605393288e+16,1.411,0.15,0.75,3.812,62.787,1.067,5.513,53.777,19.814,1.124,0
0.997,8864278.0,8904457.0,11293138719176.0,3.1883745532636e+25,0.0632,85.83200000000001,6355.0,7532.0,7188.0,7406.0,7055.0,7060.0,1508.0,7178.0,5751.0,0.45299999999999996,56.507,56.50899999999999,798.309,44.25899999999999,56.308,63.00899999999999,126.316,205093237,1.05158089265048e+16,0.14300000000000002,0.14300000000000002,0.45799999999999996,2.323,55.678000000000004,0.794,4.096,51.448,19.826,1.053,0
0.973,8910373.0,8921917.0,10376414760999.0,2.6917495823071004e+25,0.062,72.582,6497.0,7576.0,7203.0,7151.0,7238.0,7225.0,1530.0,7356.0,5796.0,0.461,55.44,55.479,769.4680000000001,38.056,53.872,64.19,124.045,204541612,1.04593177107224e+16,0.17300000000000001,0.133,0.32299999999999995,1.625,56.022,0.813,4.196000000000001,51.59,19.838,0.726,0
0.9470000000000001,8944074.0,8935012.0,10144839016362.0,2.5729439666972997e+25,0.0653,91.26100000000001,6597.0,7598.0,7183.0,7156.0,7294.0,7397.0,1205.0,7366.0,5828.0,0.469,57.896,54.516999999999996,743.0189999999999,61.358999999999995,59.708,65.435,130.56,205946817,1.06035228595987e+16,-1.611,0.12,0.1,0.501,52.838,0.654,3.372,50.473,19.847,0.603,0
0.915,9082731.0,9164862.0,10662886872052.0,2.8424289111544e+25,0.0672,75.671,6701.0,7578.0,7105.0,7143.0,6913.0,7302.0,1387.0,7115.0,5841.0,0.47600000000000003,59.342,53.629,719.012,71.124,62.982,66.718,134.465,205547838,1.05624784497685e+16,-2.097,0.106,0.242,1.22,53.512,0.599,3.072,50.739,19.857,0.775,0
