activeaddresses90var,difficulty14ema,difficulty14wma,difficulty30ema,difficulty30sma,difficulty3ema,difficulty7ema,difficulty90ema,difficulty90rsi,fee_to_reward30wmaUSD,fee_to_reward90smaUSD,fee_to_reward90wmaUSD,median_transaction_feeUSD,mining_profitability,mining_profitability14std,mining_profitability14var,mining_profitability30std,mining_profitability90mom,mining_profitability90trx,priceUSD,sentbyaddress90std,top100cap30rsi,top100cap30trx,top100cap90roc,category
281297689,18763908.0,19418779.0,16981947.0,16616260.0,19758116.0,19459068.0,12717012.0,98.999,0.961,1.175,1.099,0.0446,2292.0,510.505,65154.0,1909.0,-4680.0,0.192,89.28299999999999,19075.0,56.438,-0.002,1.507,1
290795350,19106764.0,19709226.0,17262810.0,16922324.0,20546723.0,19928133.0,12906426.0,99.096,0.9470000000000001,1.173,1.089,0.0449,1973.0,531.939,70740.0,1874.0,-5247.0,0.18100000000000002,89.829,19413.0,56.538999999999994,-0.001,0.927,1
290535731,19403906.0,19948372.0,17525553.0,17228388.0,20941026.0,20279932.0,13091677.0,99.096,0.925,1.165,1.077,0.0428,2033.0,588.4780000000001,86577.0,1672.0,-5957.0,0.16899999999999998,85.60799999999999,19291.0,59.033,0.0,0.934,1
284569764,19661429.0,20168508.0,17771345.0,17534452.0,21138178.0,20543781.0,13272856.0,99.096,0.9229999999999999,1.158,1.072,0.0416,1929.0,668.4830000000001,111717.0,1604.0,-6923.0,0.158,83.204,18965.0,60.508,0.001,1.32,1
276444540,19884616.0,20369634.0,18001280.0,17840516.0,21236753.0,20741668.0,13450053.0,99.096,0.9009999999999999,1.143,1.06,0.0407,2107.0,642.804,103299.0,1433.0,-6670.0,0.147,81.42399999999999,18475.0,60.905,0.002,1.359,1
274721710,20078044.0,20551749.0,18216380.0,18146580.0,21286041.0,20890084.0,13623356.0,99.096,0.878,1.1340000000000001,1.047,0.0392,1745.0,681.174,115999.0,1259.0,-8206.0,0.135,78.461,18146.0,63.856,0.004,2.594,1
277898057,20245682.0,20714854.0,18417602.0,18408866.0,21310685.0,21001395.0,13792850.0,99.096,0.863,1.131,1.038,0.0365,1830.0,641.107,102755.0,1236.0,-7094.0,0.124,73.017,18218.0,66.366,0.005,3.0039999999999996,1
281984747,20390969.0,20858949.0,18605843.0,18599855.0,21323007.0,21084878.0,13958618.0,99.096,0.846,1.123,1.0270000000000001,0.033,1642.0,664.653,110441.0,1241.0,-7769.0,0.11199999999999999,66.0,18502.0,69.432,0.006999999999999999,3.93,1
276103992,20516883.0,20984034.0,18781939.0,18790845.0,21329168.0,21147491.0,14120744.0,99.096,0.8140000000000001,1.115,1.011,0.0349,1573.0,712.243,126822.0,1249.0,-8552.0,0.1,69.751,18610.0,68.961,0.01,4.297,1
264236977,20626009.0,21090109.0,18946674.0,18981835.0,21332249.0,21194451.0,14279306.0,99.096,0.802,1.11,1.001,0.0368,1785.0,694.054,120428.0,1205.0,-11567.0,0.08900000000000001,73.54899999999999,17877.0,70.383,0.012,4.4510000000000005,1
228321482,20720585.0,21177173.0,19100780.0,19172825.0,21333789.0,21229670.0,14434384.0,99.096,0.795,1.103,0.993,0.0362,1654.0,664.216,110296.0,1232.0,-10651.0,0.077,72.494,16340.0,70.595,0.015,4.239,1
202564125,20802551.0,21245228.0,19244945.0,19363815.0,21334559.0,21256085.0,14586053.0,99.096,0.774,1.092,0.981,0.038,1892.0,591.395,87437.0,1213.0,-5200.0,0.065,75.98899999999999,15298.0,69.083,0.018000000000000002,1.9080000000000001,1
193800873,21509863.0,21930546.0,19687683.0,19713873.0,23720973.0,22468910.0,14839269.0,99.37700000000001,0.772,1.087,0.975,0.0407,1485.0,503.56800000000004,63395.0,1178.0,-4874.0,0.053,81.5,14944.0,69.585,0.02,2.275,1
193216789,22130264.0,22558804.0,20105437.0,20065782.0,24941924.0,23392402.0,15088139.0,99.37899999999999,0.769,1.085,0.968,0.0425,1449.0,468.098,54779.0,1128.0,-5146.0,0.040999999999999995,84.999,15085.0,64.57600000000001,0.023,1.83,1
194564654,22667946.0,23122076.0,20496240.0,20417690.0,25552400.0,24085020.0,15331540.0,99.37899999999999,0.77,1.079,0.963,0.044000000000000004,1830.0,386.652,37375.0,1091.0,-3950.0,0.03,88.095,15114.0,60.008,0.026000000000000002,1.33,1
194474711,23133937.0,23628348.0,20861829.0,20769598.0,25857638.0,24604484.0,15569592.0,99.37899999999999,0.75,1.065,0.951,0.0441,1731.0,372.07800000000003,34610.0,1026.0,-4134.0,0.018000000000000002,88.156,15358.0,57.306999999999995,0.027999999999999997,-0.127,1
188052348,23537795.0,24088642.0,21203832.0,21121506.0,26010257.0,24994082.0,15802411.0,99.37899999999999,0.731,1.058,0.94,0.0446,1698.0,341.417,29141.0,981.416,-3239.0,0.006,89.295,14903.0,55.629,0.03,-0.9570000000000001,1
177280873,23887806.0,24502961.0,21523771.0,21461978.0,26086566.0,25286280.0,16030113.0,99.37899999999999,0.735,1.047,0.9359999999999999,0.045,1693.0,325.202,26439.0,923.395,-3313.0,-0.005,89.925,14637.0,53.953,0.031,-0.517,1
