activeaddresses3trx,activeaddresses90var,confirmationtime30ema,confirmationtime3ema,confirmationtime7wma,difficulty14std,difficulty7trx,fee_to_rewardUSD,hashrate14mom,hashrate14roc,hashrate14trx,hashrate30roc,hashrate30trx,hashrate3mom,hashrate3std,hashrate3var,hashrate7mom,hashrate7std,hashrate90roc,median_transaction_feeUSD,mediantransactionvalue30wmaUSD,mediantransactionvalue7rocUSD,mediantransactionvalue90rsiUSD,mediantransactionvalueUSD,mining_profitability3roc,mining_profitability3sma,mining_profitability3wma,price30momUSD,price3rsiUSD,priceUSD,sentbyaddress30std,sentbyaddress7var,sentinusdUSD,size14var,size7rsi,size90mom,transactionfees14rsiUSD,transactionfees30rsiUSD,transactions90std,category
1.906,1408073199,8.187000000000001,8.515,8.546,242930549.0,2.032,0.272,2034544324243200.0,24.325,1.9509999999999998,84.42,2.0469999999999997,-221187252613156.0,952408827193340.0,2.2677064352895e+29,446026209387066.0,819602621727160.0,659.0219999999999,0.0761,240.96,33.533,50.239,200.808,-2.997,310.6,316.57099999999997,-291.564,78.111,760.7189999999999,29117.0,48028266.0,590478776.0,185953770,52.086000000000006,35545.0,46.266999999999996,48.433,25746.0,0
0.32,1404341421,8.164,8.17,8.37,222853193.0,1.785,0.239,1476920416285628.0,16.219,1.886,53.791000000000004,2.032,717143813207046.0,1194911556330000.0,3.5695340686275e+29,555205630255596.0,916895212963520.0,701.921,0.0757,233.24099999999999,2.516,49.965,181.59099999999998,17.134,326.67400000000004,326.101,-158.958,71.789,756.6139999999999,29400.0,45210498.0,365598895.0,232447192,38.019,-17459.0,47.788999999999994,48.952,25857.0,1
-3.2030000000000003,1399479819,8.09,7.597,8.017000000000001,193078646.0,1.5490000000000002,0.183,2105082262035384.0,22.781999999999996,1.848,81.99600000000001,2.02,2111864684833296.0,819668348319639.0,1.6796405030926e+29,1507296975982896.0,1240464531677594.0,659.436,0.0771,224.61,-38.493,49.606,156.40200000000002,4.77,331.97,337.25699999999995,-146.754,80.267,771.1439999999999,30517.0,59580333.0,395188959.0,388274507,27.068,-40116.0,47.442,48.83,26107.0,1
-0.956,1376004241,8.262,9.172,8.662,197126406.0,1.6540000000000001,0.41200000000000003,1821588659365084.0,18.343,1.8359999999999999,86.68299999999999,2.011,1354044053567648.0,969494788666960.0,2.349800363131e+29,1739553174973510.0,1569076509709700.0,739.823,0.078,221.579,3.344,50.684,232.27200000000002,-29.651999999999997,300.612,282.867,-204.88099999999997,84.434,779.773,29259.0,73196139.0,536732385.0,538858129,62.043,82905.0,52.059,50.403999999999996,26074.0,1
1.635,1338571267,8.306000000000001,9.058,8.758,178308252.0,1.8630000000000002,0.34299999999999997,1092341470006756.0,11.607000000000001,1.797,61.004,1.9969999999999999,-79384170030618.0,1040116604658900.0,2.7046063782179e+29,-116075914741804.0,1567921369620500.0,618.336,0.0794,221.55900000000003,39.675,51.243,272.48400000000004,-7.428999999999999,292.448,285.145,-243.149,89.682,793.6289999999999,27268.0,106982963.0,707000317.0,582429434,57.177,100287.0,49.323,49.481,25889.0,1
0.10400000000000001,1291609075,8.429,9.635,9.131,191634421.0,2.041,0.348,2165012055806440.0,25.025,1.7480000000000002,80.223,1.98,-528943208417514.0,1061247264172100.0,2.815614389282e+29,950534199842044.0,1477746284323000.0,529.948,0.0835,219.338,53.662,50.656000000000006,231.805,-21.781999999999996,267.10900000000004,275.407,-156.336,95.87100000000001,834.69,24376.0,101757083.0,510081046.0,600443127,53.693000000000005,72098.0,52.106,50.445,25684.0,1
0.7609999999999999,1263561143,8.366,8.548,8.795,211910511.0,2.136,0.289,2280326114856522.0,23.873,1.719,76.72,1.966,79707409867506.0,1134331983666300.0,3.2167726229207e+29,2598787045313968.0,1117743717141700.0,683.4630000000001,0.0878,220.36,106.25200000000001,51.172,268.897,60.825,312.361,321.323,-38.580999999999996,97.874,877.685,23351.0,90671011.0,805945831.0,597812548,48.148999999999994,20561.0,53.946999999999996,51.097,25468.0,1
5.422999999999999,1261553288,8.326,8.145,8.568,225355173.0,2.141,0.632,3310176648302066.0,33.26,1.7369999999999999,87.016,1.9580000000000002,2759039101043648.0,2006903009803700.0,1.0069149226898e+30,2864150438915000.0,1786089368767456.0,785.791,0.0962,223.847,49.787,51.611999999999995,300.783,11.194,323.748,334.80800000000005,241.002,99.12200000000001,961.717,23672.0,137551760.0,928177240.0,675794499,58.051,75659.0,73.796,60.853,25297.0,0
3.824,1235831044,8.314,8.14,8.461,233153209.0,2.07,0.35100000000000003,3117806164533424.0,31.092,1.774,101.404,1.954,2329210147642830.0,1296939464597300.0,4.2051299370746e+29,2562600534277828.0,1972326608811300.0,673.62,0.0915,223.983,33.029,50.753,241.56799999999998,13.207,335.765,327.445,181.262,66.453,914.81,22870.0,129265160.0,796239680.0,676227957,50.03,43498.0,51.728,51.15,25210.0,0
2.333,1211923768,8.259,7.801,8.174,235865341.0,1.944,0.293,3418563106852214.0,34.749,1.818,90.477,1.953,1424343770388646.0,107619118190190.0,2.8954686500087003e+27,1911266130869318.0,2160535466096200.0,672.02,0.0848,222.377,35.861999999999995,50.336999999999996,212.49099999999999,-13.725999999999999,319.342,314.399,-8.002,39.075,848.331,22633.0,51341322.0,641320374.0,687121655,44.95399999999999,20188.0,49.233999999999995,49.857,25195.0,1
0.163,1183150733,8.175,7.379,7.745,233668729.0,1.784,0.248,3309625221212142.0,33.054,1.858,79.351,1.954,59965660891280.0,146083197136390.0,5.3350751213972e+27,1570072046238632.0,2298972834773124.0,662.7330000000001,0.085,221.157,-7.452000000000001,50.372,214.963,-2.475,316.54200000000003,320.193,-66.979,39.918,849.84,22366.0,51764860.0,485284224.0,741790708,40.789,14154.0,48.369,49.412,25126.0,0
-1.5930000000000002,1137173499,8.144,7.54,7.638,226420552.0,1.6059999999999999,0.268,3717659580899276.0,35.008,1.9140000000000001,89.726,1.9580000000000002,1191750791332634.0,989289585039555.0,2.4467347076693e+29,3833735495641080.0,2142076906673300.0,685.107,0.0846,219.767,-23.34,50.284,208.885,-10.469000000000001,305.758,300.257,-41.477,38.025,846.22,22144.0,51676630.0,462378304.0,740386188,42.676,39227.0,49.408,49.913999999999994,25049.0,1
-2.035,1115364299,8.061,7.1979999999999995,7.364,213607195.0,1.423,0.23399999999999999,4523701286819624.0,45.853,1.97,89.95200000000001,1.964,1132957747690748.0,982232887832919.0,2.4119536148515e+29,3573167086977580.0,1588644833527300.0,577.776,0.0899,218.48,-10.373,50.268,207.75900000000001,6.222,312.18,311.849,45.855,69.715,899.4760000000001,22216.0,40116298.0,363245215.0,785735138,40.702,21940.0,49.553000000000004,49.982,24987.0,0
-3.03,1090279579,7.99,7.077000000000001,7.234,194129792.0,1.245,0.228,4601176742561936.0,49.832,2.001,80.752,1.969,512025060876842.0,500384565123900.0,6.259617825355701e+28,2002389697247968.0,991358969241070.0,510.901,0.0894,215.215,-34.83,49.792,175.24099999999999,1.2690000000000001,313.58,323.324,23.744,64.514,893.878,22681.0,68443046.0,354872553.0,881647720,36.412,13017.0,50.693000000000005,50.504,25075.0,0
-0.019,1069413909,8.024,7.7989999999999995,7.513999999999999,243793970.0,1.444,0.284,6905494640306400.0,66.40899999999999,2.094,110.867,1.984,2966647806793968.0,3043266584005000.0,2.3153678753304e+30,4041344201391400.0,2682160246859200.0,624.44,0.0837,214.195,-31.342,50.25,206.511,-25.886999999999997,289.70599999999996,269.057,-17.369,30.305,837.415,22758.0,24170091.0,428940934.0,871265441,53.023999999999994,65647.0,48.516000000000005,49.519,25101.0,1
0.126,1051410235,8.08,8.344,7.858,281882164.0,1.8030000000000002,0.397,3801241796175084.0,35.919000000000004,2.14,65.116,1.996,-5315677437494.0,3045101887722300.0,2.3181613766525e+30,1238641261897256.0,2532656315915700.0,451.656,0.0844,213.94799999999998,-10.448,50.394,216.328,-27.441999999999997,259.617,243.541,9.818999999999999,36.492,844.33,22761.0,19054300.0,615198217.0,855506400,55.743,57015.0,53.508,51.778,25019.0,1
-0.054000000000000006,1020657600,8.064,8.085,7.91,290448459.0,2.127,0.366,3661711146304196.0,32.275,2.162,79.426,2.005,1172399088575556.0,2511207401987668.0,1.5765406539494e+30,1750445015434878.0,2370535091158566.0,527.499,0.0858,213.015,-3.365,50.229,205.34,-21.254,235.875,245.68400000000003,83.39,49.576,857.806,21793.0,18209096.0,503068504.0,589682126,50.533,28785.0,53.266000000000005,51.674,24836.0,0
-0.223,994470305,8.046,7.934,7.938,323037826.0,2.3369999999999997,0.287,5329223515360686.0,45.346000000000004,2.208,87.588,2.0180000000000002,-222227071378066.0,2306420650589500.0,1.3298940543664e+30,3759151469122050.0,2611535463310500.0,629.028,0.0854,211.965,-6.938,50.15,200.05,13.105,244.832,243.706,181.107,45.7,854.1080000000001,20915.0,14166562.0,498812104.0,437905828,49.36,16345.0,49.312,49.963,24853.0,0
-0.574,974737986,8.138,8.704,8.357999999999999,345400157.0,2.42,0.386,4747487846492116.0,45.199,2.217,65.05199999999999,2.0269999999999997,866861880286414.0,1851774518195066.0,8.5726721655914e+29,913752350851036.0,2517414031126800.0,434.985,0.0823,210.787,-6.7589999999999995,50.07,194.766,-13.782,233.868,224.18099999999998,268.188,22.901,822.71,16487.0,13868876.0,338624383.0,410142187,61.239,59936.0,49.861000000000004,50.196999999999996,24825.0,1
-2.838,941368291,8.147,8.49,8.416,358649013.0,2.391,0.293,3475666317216874.0,32.134,2.173,43.915,2.028,-714988037504836.0,2314555834901300.0,1.339292178219e+30,-97500769760706.0,2538878714093193.0,418.19300000000004,0.0837,208.454,-17.308,49.721000000000004,171.801,-3.195,231.058,234.983,220.918,42.391000000000005,836.905,15563.0,25332363.0,286260098.0,397585847,43.477,22858.0,50.123000000000005,50.305,24783.0,1
-3.739,932183562,8.171,8.505,8.485,363781493.0,2.279,0.271,3697031952338388.0,31.246,2.121,65.008,2.025,-1552484153154792.0,1059957779971600.0,2.8087762383059e+29,1694642255090420.0,2235917262785500.0,458.871,0.0842,206.511,-0.45799999999999996,49.762,174.438,-0.922,230.345,234.345,178.764,49.64,842.293,15611.0,26743887.0,463268983.0,417606911,42.85,2736.0,49.346000000000004,49.99100000000001,24938.0,1
3.412,944827212,8.12,7.945,8.214,361143807.0,2.112,0.313,2657482046071024.0,20.038,2.0669999999999997,84.02,2.02,669033300622556.0,1387908005787629.0,4.8157215813235e+29,-1383862155320376.0,1778527730578206.0,409.534,0.0886,207.593,5.9639999999999995,50.443999999999996,218.827,32.265,252.477,255.261,271.76599999999996,80.118,886.057,16860.0,80418251.0,647277993.0,323991892,57.905,49767.0,51.282,50.748000000000005,24928.0,0
5.518,941412058,8.156,8.31,8.305,350560606.0,1.916,0.375,3323855424638884.0,25.285,2.021,72.421,2.015,2177399255064840.0,771270323819640.0,1.4871447810121e+29,2085214162741628.0,1728011959423500.0,460.653,0.0863,206.575,-12.998,49.97,188.209,-14.555,240.082,238.167,228.22099999999998,54.227,863.039,18693.0,156932008.0,512210047.0,563514585,66.668,85167.0,47.286,49.167,25011.0,0
4.434,937042295,8.113,7.905,8.111,331271252.0,1.7069999999999999,0.308,2790362005725320.0,21.049,1.9669999999999999,61.236999999999995,2.006,517673823775578.0,469674702673840.0,5.5148581582941e+28,1039916990290442.0,1658740817702400.0,457.38199999999995,0.0852,206.15200000000002,-3.112,50.136,198.95,11.312000000000001,248.74599999999998,246.012,202.363,44.336999999999996,852.448,19452.0,180185417.0,403027771.0,569723042,50.208,12837.0,48.174,49.498999999999995,25025.0,0
2.752,923825779,8.115,8.02,8.087,301609947.0,1.5,0.379,3421551611897188.0,25.683000000000003,1.9180000000000001,66.97800000000001,1.9969999999999999,824035226717444.0,573516571400540.0,8.2230314417757e+28,-337599857224866.0,1520589489538500.0,442.32599999999996,0.0838,206.36,5.148,50.313,210.34799999999998,-18.335,232.112,232.77599999999998,167.17,32.226,837.8969999999999,19576.0,170827582.0,413913413.0,568896817,53.97,58283.0,52.456,51.14,25015.0,0
0.8690000000000001,877670428,8.083,7.82,7.922000000000001,278683672.0,1.446,0.32299999999999995,3755837191324290.0,26.195999999999998,1.896,83.912,1.99,1623732558018040.0,1698756605731002.0,7.2144350137868e+29,2842084840473254.0,2155587076630600.0,350.06800000000004,0.0808,208.06599999999997,20.493000000000002,50.691,234.68,-3.003,229.92700000000002,222.58700000000002,137.762,17.538,808.1569999999999,19731.0,162635336.0,581534153.0,543352788,49.338,44033.0,47.771,49.31399999999999,24860.0,1
